Disease,OPCS4code,OPCS4codeDescr,Category,ICD10code,ICD10codeDescr
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A218,Other forms of tularaemia
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A219,"Tularaemia, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A228,Other forms of anthrax
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A229,"Anthrax, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A23,Brucellosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A24,Glanders and melioidosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A25,Rat-bite fevers
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A268,Other forms of erysipeloid
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A269,"Erysipeloid, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A27,Leptospirosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A28,"Other zoonotic bacterial diseases, not elsewhere classified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A30,Leprosy [Hansen's disease]
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A318,Other mycobacterial infections
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A319,"Mycobacterial infection, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A328,Other forms of listeriosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A329,"Listeriosis, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A35,Other tetanus
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A368,Other diphtheria
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A369,"Diphtheria, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A38,Scarlet fever
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A398,Other meningococcal infections
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A399,"Meningococcal infection, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A421,Abdominal actinomycosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A422,Cervicofacial actinomycosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A428,Other forms of actinomycosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A429,"Actinomycosis, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A438,Other forms of nocardiosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A439,"Nocardiosis, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A44,Bartonellosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A48,"Other bacterial diseases, not elsewhere classified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A49,Bacterial infection of unspecified site
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A50,Congenital syphilis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A512,Primary syphilis of other sites
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A514,Other secondary syphilis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A515,"Early syphilis, latent"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A519,"Early syphilis, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A527,Other symptomatic late syphilis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A528,"Late syphilis, latent"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A529,"Late syphilis, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A53,Other and unspecified syphilis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A548,Other gonococcal infections
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A549,"Gonococcal infection, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A568,Sexually transmitted chlamydial infection of other sites
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A598,Trichomoniasis of other sites
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A599,"Trichomoniasis, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A638,Other specified predominantly sexually transmitted diseases
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A64,Unspecified sexually transmitted disease
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A65,Nonvenereal syphilis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A66,Yaws
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A67,Pinta [carate]
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A68,Relapsing fevers
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A69,Other spirochaetal infections
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A70,Chlamydia psittaci infection
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A748,Other chlamydial diseases
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A749,"Chlamydial infection, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A75,Typhus fever
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A77,Spotted fever [tick-borne rickettsioses]
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A78,Q fever
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A79,Other rickettsioses
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A90,Dengue fever [classical dengue]
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A91,Dengue haemorrhagic fever
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A92,Other mosquito-borne viral fevers
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A93,"Other arthropod-borne viral fevers, not elsewhere classified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A94,Unspecified arthropod-borne viral fever
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A95,Yellow fever
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A96,Arenaviral haemorrhagic fever
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A98,"Other viral haemorrhagic fevers, not elsewhere classified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,A99,Unspecified viral haemorrhagic fever
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B002,Herpesviral gingivostomatitis and pharyngotonsillitis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B007,Disseminated herpesviral disease
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B008,Other forms of herpesviral infection
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B009,"Herpesviral infection, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B018,Varicella with other complications
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B019,Varicella without complication
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B027,Disseminated zoster
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B028,Zoster with other complications
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B029,Zoster without complication
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B058,Measles with other complications
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B059,Measles without complication
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B068,Rubella with other complications
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B069,Rubella without complication
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B23,Human immunodeficiency virus [HIV] disease resulting in other conditions
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B24,Unspecified human immunodeficiency virus [HIV] disease
Infections of Other or unspecified organs,,,Diagnosis of Infections of Other or unspecified organs,B252,Cytomegaloviral pancreatitis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B258,Other cytomegaloviral diseases
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B259,"Cytomegaloviral disease, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B268,Mumps with other complications
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B269,Mumps without complication
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B330,Epidemic myalgia
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B331,Ross River disease
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B333,"Retrovirus infections, not elsewhere classified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B334,Hantavirus (cardio-)pulmonary syndrome
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B338,Other specified viral diseases
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B34,Viral infection of unspecified site
Infections of Other or unspecified organs,,,Diagnosis of Infections of Other or unspecified organs,B370,Candidal stomatitis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B378,Candidiasis of other sites
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B379,"Candidiasis, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B387,Disseminated coccidioidomycosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B388,Other forms of coccidioidomycosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B389,"Coccidioidomycosis, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B393,Disseminated histoplasmosis capsulati
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B394,"Histoplasmosis capsulati, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B395,Histoplasmosis duboisii
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B399,"Histoplasmosis, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B407,Disseminated blastomycosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B408,Other forms of blastomycosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B409,"Blastomycosis, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B417,Disseminated paracoccidioidomycosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B418,Other forms of paracoccidioidomycosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B419,"Paracoccidioidomycosis, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B427,Disseminated sporotrichosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B428,Other forms of sporotrichosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B429,"Sporotrichosis, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B438,Other forms of chromomycosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B439,"Chromomycosis, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B447,Disseminated aspergillosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B448,Other forms of aspergillosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B449,"Aspergillosis, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B457,Disseminated cryptococcosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B458,Other forms of cryptococcosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B459,"Cryptococcosis, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B461,Rhinocerebral mucormycosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B464,Disseminated mucormycosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B465,"Mucormycosis, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B468,Other zygomycoses
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B469,"Zygomycosis, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B470,Eumycetoma
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B471,Actinomycetoma
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B479,"Mycetoma, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B48,"Other mycoses, not elsewhere classified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B49,Unspecified mycosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B508,Other severe and complicated Plasmodium falciparum malaria
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B509,"Plasmodium falciparum malaria, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B51,Plasmodium vivax malaria
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B52,Plasmodium malariae malaria
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B53,Other parasitologically confirmed malaria
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B54,Unspecified malaria
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B550,Visceral leishmaniasis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B552,Mucocutaneous leishmaniasis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B559,"Leishmaniasis, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B57,Chagas' disease
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B588,Toxoplasmosis with other organ involvement
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B589,"Toxoplasmosis, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B60,"Other protozoal diseases, not elsewhere classified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B64,Unspecified protozoal disease
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B65,Schistosomiasis [bilharziasis]
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B66,Other fluke infections
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B673,"Echinococcus granulosus infection, other and multiple sites"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B674,"Echinococcus granulosus infection, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B676,"Echinococcus multilocularis infection, other and multiple sites"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B677,"Echinococcus multilocularis infection, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B679,"Echinococcosis, other and unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B68,Taeniasis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B698,Cysticercosis of other sites
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B699,"Cysticercosis, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B70,Diphyllobothriasis and sparganosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B71,Other cestode infections
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B72,Dracunculiasis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B73,Onchocerciasis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B74,Filariasis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B75,Trichinellosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B76,Hookworm diseases
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B77,Ascariasis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B787,Disseminated strongyloidiasis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B789,"Strongyloidiasis, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B79,Trichuriasis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B80,Enterobiasis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B83,Other helminthiases
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B878,Myiasis of other sites
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B879,"Myiasis, unspecified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B89,Unspecified parasitic disease
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B908,Sequelae of tuberculosis of other organs
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B909,Sequelae of respiratory and unspecified tuberculosis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B92,Sequelae of leprosy
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B948,Sequelae of other specified infectious and parasitic diseases
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B949,Sequelae of unspecified infectious or parasitic disease
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B96,Other specified bacterial agents as the cause of diseases classified to other chapters
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B97,Viral agents as the cause of diseases classified to other chapters
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B981,Vibrio vulnificus as the cause of diseases classified to other chapters
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,B99,Other and unspecified infectious diseases
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,G041,Tropical spastic paraplegia
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,G530,Postzoster neuralgia
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,G531,Multiple cranial nerve palsies in infectious and parasitic diseases classified elsewhere
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,G630,Polyneuropathy in infectious and parasitic diseases classified elsewhere
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,G940,Hydrocephalus in infectious and parasitic diseases classified elsewhere
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,J09,Influenza due to identified avian influenza virus
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,J101,"Influenza with other respiratory manifestations, other influenza virus identified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,J108,"Influenza with other manifestations, other influenza virus identified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,J111,"Influenza with other respiratory manifestations, virus not identified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,J118,"Influenza with other manifestations, virus not identified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,J37,Chronic laryngitis and laryngotracheitis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,J853,Abscess of mediastinum
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,M600,Infective myositis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,M630,Myositis in bacterial diseases classified elsewhere
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,M632,Myositis in other infectious diseases classified elsewhere
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,M650,Abscess of tendon sheath
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,M651,Other infective (teno)synovitis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,M680,Synovitis and tenosynovitis in bacterial diseases classified elsewhere
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,M710,Abscess of bursa
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,M711,Other infective bursitis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,M726,Necrotizing fasciitis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,M731,Syphilitic bursitis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,P35,Congenital viral diseases
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,P37,Other congenital infectious and parasitic diseases
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,P390,Neonatal infective mastitis
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,P392,"Intra-amniotic infection of fetus, not elsewhere classified"
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,P398,Other specified infections specific to the perinatal period
Infections of Other or unspecified organs,,,Possible diagnosis of Infections of Other or unspecified organs,P399,"Infection specific to the perinatal period, unspecified"
Other haemolytic anaemias,,,Diagnosis of Other haemolytic anaemias,D55,Anaemia due to enzyme disorders
Other haemolytic anaemias,,,Diagnosis of Other haemolytic anaemias,D58,Other hereditary haemolytic anaemias
Other haemolytic anaemias,,,Diagnosis of Other haemolytic anaemias,D59,Acquired haemolytic anaemia
Coronary heart disease not otherwise specified,,,Diagnosed,I250,"Atherosclerotic cardiovascular disease, so described"
Coronary heart disease not otherwise specified,,,Diagnosed,I251,Atherosclerotic heart disease
Coronary heart disease not otherwise specified,,,Diagnosed,I253,Aneurysm of heart
Coronary heart disease not otherwise specified,,,Diagnosed,I254,Coronary artery aneurysm
Coronary heart disease not otherwise specified,,,Diagnosed,I255,Ischaemic cardiomyopathy
Coronary heart disease not otherwise specified,,,Diagnosed,I256,Silent myocardial ischaemia
Coronary heart disease not otherwise specified,,,Diagnosed,I258,Other forms of chronic ischaemic heart disease
Coronary heart disease not otherwise specified,,,Diagnosed,I259,"Chronic ischaemic heart disease, unspecified"
Primary Malignancy_Bone and articular cartilage,,,Diagnosis of Primary Malignancy_Bone and articular cartilage,C40,Malignant neoplasm of bone and articular cartilage of limbs
Primary Malignancy_Bone and articular cartilage,,,Diagnosis of Primary Malignancy_Bone and articular cartilage,C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites
Appendicitis,,,Diagnosis of Appendicitis,K35,Acute appendicitis
Appendicitis,,,Diagnosis of Appendicitis,K36,Other appendicitis
Appendicitis,,,Diagnosis of Appendicitis,K37,Unspecified appendicitis
Secondary Malignancy_Lung,,,Diagnosis of Secondary Malignancy_Lung,C780,Secondary malignant neoplasm of lung
Other Cardiomyopathy,,,Diagnosis of Other Cardiomyopathy,I255,Ischaemic cardiomyopathy
Other Cardiomyopathy,,,Diagnosis of Other Cardiomyopathy,I423,Endomyocardial (eosinophilic) disease
Other Cardiomyopathy,,,Diagnosis of Other Cardiomyopathy,I425,Other restrictive cardiomyopathy
Other Cardiomyopathy,,,Diagnosis of Other Cardiomyopathy,I427,Cardiomyopathy due to drugs and other external agents
Other Cardiomyopathy,,,Diagnosis of Other Cardiomyopathy,I428,Other cardiomyopathies
Other Cardiomyopathy,,,Diagnosis of Other Cardiomyopathy,I429,"Cardiomyopathy, unspecified"
Other Cardiomyopathy,,,Diagnosis of Other Cardiomyopathy,I43,Cardiomyopathy in diseases classified elsewhere
Diverticular disease of intestine (acute and chronic),H121,Excision of diverticulum of colon,Procedure for Diverticular disease of intestine (acute and chronic),,
Crohn's disease,,,Diagnosis of Crohn's disease,K50,Crohn's disease [regional enteritis]
Secondary Malignancy_retroperitoneum and peritoneum,,,Diagnosis of Secondary Malignancy_retroperitoneum and peritoneum,C786,Secondary malignant neoplasm of retroperitoneum and peritoneum
Primary Malignancy_biliary tract,,,Diagnosis of Primary Malignancy_biliary tract,C221,Malignant neoplasm: Intrahepatic bile duct carcinoma
Primary Malignancy_biliary tract,,,Diagnosis of Primary Malignancy_biliary tract,C24,Malignant neoplasm of other and unspecified parts of biliary tract
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,A00,Cholera
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,A01,Typhoid and paratyphoid fevers
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,A020,Salmonella enteritis
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,A03,Shigellosis
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,A04,Other bacterial intestinal infections
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,A05,"Other bacterial foodborne intoxications, not elsewhere classified"
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,A060,Acute amoebic dysentery
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,A061,Chronic intestinal amoebiasis
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,A062,Amoebic nondysenteric colitis
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,A063,Amoeboma of intestine
